,Type,Score,prop.spp.IndicatorClass_DOC_high,prop.spp.Trophic.I,prop.spp.BCG3,prop.spp.ZHR
312PS0099_6.14.10_1,ref,0.669333055,1.173327953,0.526188765,0.640457989,0.337357512
312PS0099_6.14.10_2,ref,1.039246193,1.893490707,0.354589506,1.770501786,0.138402773
312RYCALR_6.16.10_1,ref,1.222831918,1.144529211,2.010893911,1.043820471,0.69208408
315CHCALS_6.15.10_1,ref,0.507612351,1.28398354,0.314724618,0.431741244,0
402BA0095_5.29.08_1,ref,1.375205497,0.778101695,1.104996407,1.256221303,2.361502583
402BA0287_6.9.08_1,ref,1.396015379,1.63391793,0.657856846,2.0940101,1.198276639
402BA0287_6.9.08_2,ref,0.325229206,0,0,0.652087999,0.648828825
402M00005_6.11.15_1,ref,1.161705788,2.372801582,0.369276886,1.48722042,0.417524266
402M00009_6.29.15_1,ref,0.913446912,1.221872048,1.333616353,1.098299246,0
402MTCUNF_6.5.12_1,ref,1.245219934,1.505185002,0.946915157,2.085261601,0.443517977
402PS0048_5.21.08_1,ref,1.027819855,1.256190597,1.471385789,0.877300047,0.506402986
403BA0015_5.19.08_1,ref,1.482295377,2.054373664,1.101536164,1.527815773,1.245455907
403BA0064_5.12.08_1,ref,0.905087298,0.668067112,1.339389584,0.754164283,0.858728212
403BA0064_6.18.14_1,ref,0.660621055,1.478306699,0.198401271,0.810896956,0.154879293
403BA0140_5.21.08_1,ref,0.949630751,1.223268321,0.815227261,0.357154285,1.402873136
403BA0171_5.19.08_1,ref,1.276813685,2.372801582,0.69239416,1.415772599,0.626286399
403BA0960_5.21.08_1,ref,1.247928394,1.018942696,1.381245508,1.073416569,1.518108803
403LNCASC_6.15.10_1,ref,1.467181522,1.833100306,0.714244576,2.099509156,1.221872048
403S00064_6.2.10_1,ref,1.042004194,1.311006187,1.206536347,0.819973344,0.830500897
403S00875_6.24.10_1,ref,1.381906802,2.428305712,0.607363299,1.393210129,1.098748069
403S00960_6.2.10_1,ref,1.108621651,1.181561833,0.736664271,0.941925445,1.574335055
403S01536_7.12.11_1,ref,1.018784569,1.704400664,0.735251769,1.635485844,0
403S01536_7.12.11_2,ref,0.87099471,1.289291799,1.311452551,0.883234489,0
403S01883_6.21.10_1,ref,0.981725598,2.118572841,0.43274635,1.3755832,0
403S03643_6.24.10_1,ref,0.784611673,1.016439151,0.298647678,1.248940318,0.574419547
403S03643_6.24.10_2,ref,1.11021112,1.675414258,0.529070056,2.029854443,0.206505725
403S06315_6.27.12_1,ref,1.099671102,1.453085675,0.780088155,0.912599741,1.252910835
403STC064_6.8.11_1,ref,1.221375271,2.071493444,0.461596107,1.308600867,1.043810665
403STC086_6.21.11_1,ref,1.34898705,0.991698239,0.433331924,1.470503539,2.500414499
403STC086_6.21.11_2,ref,1.461220166,1.562781367,0.510174697,2.577141477,1.194783121
403WE0501_5.14.13_1,ref,1.078631195,1.022541772,1.300146925,0.738925246,1.252910835
403WE0540_5.14.14_1,ref,0.939454191,1.412381894,0,1.040671538,1.304763332
403WE0540_5.16.13_1,ref,0.824591626,1.221872048,1.262853036,0.813641421,0
403WE0683_5.15.13_1,ref,1.304261847,1.949993659,1.449191893,1.817861836,0
403WE1027_5.14.14_1,ref,0.271216239,0.936432991,0,0.148431964,0
403WE1027_5.30.13_1,ref,1.141172783,2.594170826,0.847829584,1.12269072,0
405BRCAMS_6.7.11_1,ref,0.709700134,1.170315558,0.808533956,0.168779535,0.691171488
405BRCASG_5.7.14_1,ref,0.65860479,0.650454947,0,1.054688454,0.929275761
405BRCSGR_5.28.08_1,ref,0.940308252,1.017861947,1.311452551,0.980559326,0.451359183
405SGRAAG_5.28.08_1,ref,1.127033432,1.495463182,0.814581365,1.27707977,0.92100941
405WER318_3.27.09_1,ref,0.906117124,0.778101695,1.65749461,1.18887219,0
405WER318_4.30.09_1,ref,1.142595082,1.33917195,0.245083923,2.603481495,0.38264296
405WER318_6.2.09_1,ref,0.719803332,0.914905796,0.52005877,1.086274236,0.357974524
405WER318_7.7.09_1,ref,0.877860522,1.569313216,0.256442282,1.68568659,0
405WER318_8.18.09_1,ref,0.749225638,0.876240648,0.597295355,0.757473821,0.76589273
504DCFRxx_7.27.10_1,ref,1.034554724,1.379752919,0.23146815,1.623535281,0.903462545
504PS0227_8.12.09_1,ref,1.204287042,1.263441337,1.196960661,1.038490777,1.318255391
504WE0527_7.2.13_1,ref,1.048911174,2.081404896,0.455522474,1.040671538,0.618045789
504WE0527_7.2.13_2,ref,0.790939634,0.9463399,0.447971516,0.81208121,0.957365912
505BMCMCR_8.4.10_1,ref,1.199050554,1.58265776,1.470503539,1.743040916,0
505BMCMCR_8.4.10_2,ref,1.174995432,1.359338212,2.661477235,0.67916628,0
505LBCAMR_8.7.13_1,ref,0.99860375,1.495463182,1.221872048,1.27707977,0
505PS0110_8.3.10_1,ref,1.350632181,1.221872048,1.004542188,1.24397601,1.932138477
505PS0110_9.16.10_1,ref,1.249947453,1.724691148,1.041606673,1.4203757,0.813116291
505PS0174_9.27.11_1,ref,1.078549764,1.345449699,1.04011754,0.854708243,1.073923573
506PS0062_9.15.08_1,ref,1.20844839,2.311170372,0.629449237,1.893173949,0
507MZCAML_7.17.12_1,ref,1.042733963,1.221872048,1.949993659,0.999070146,0
507MZCAML_7.17.12_2,ref,1.041820725,1.86266644,1.249928008,1.054688454,0
509ACNFPP_7.30.08_1,ref,1.169319021,1.311006187,1.508170433,0.819973344,1.038126121
509ACNFPP_9.16.08_1,ref,1.051469123,2.172895221,0.532610893,1.349820764,0.150549615
509ACNFPP_9.25.14_1,ref,0.826375507,0.720464533,0,0.223534911,2.361502583
509ACSFPP_7.16.08_1,ref,1.48384065,1.379752919,0.694404449,2.639333186,1.221872048
509ATCINC_7.14.08_1,ref,1.1509914,1.24057362,1.54684147,1.017991956,0.798558554
509BSCADC_8.31.11_1,ref,1.380301755,2.045518605,0.477513214,1.918371065,1.079804136
509CBCADC_8.24.10_1,ref,1.004817734,1.11157385,1.183924722,1.217736096,0.506036268
509CTCADC_7.10.12_1,ref,1.446075421,1.867714317,1.470503539,2.446083828,0
509CWCPLR_7.7.08_1,ref,1.082158806,0.847248896,1.723623352,0.867940585,0.889822389
509FCA054_8.27.13_1,ref,1.223345803,2.435141196,0.596891518,1.456423946,0.404926551
509ICPPCX_7.30.08_1,ref,0.870281146,0.778101695,0.552498203,1.087848522,1.062676162
509ICPPCX_9.10.08_1,ref,1.467090484,1.877105715,0.581361864,2.65350711,0.756387247
509MLC145_8.6.13_1,ref,1.143121333,1.421990838,1.675744926,0.78266549,0.69208408
509PCDTWR_7.15.08_1,ref,1.135397698,2.118572841,0.721243917,1.3755832,0.326190833
509PCDTWR_9.3.08_1,ref,0.850452114,1.076098089,1.175528092,1.150182275,0
509PMC197_7.2.14_1,ref,0.461427911,1.034814689,0,0.810896956,0
509PS0085_9.7.11_1,ref,1.031855619,1.382353463,1.292717514,1.155744034,0.296607463
509PS0085_9.7.11_2,ref,1.27113467,2.584358359,0.589271626,1.4112121,0.499696595
509PS0170_7.26.10_1,ref,1.322861924,1.117962206,0.762066487,0.749941768,2.661477235
509PS0234_7.21.11_1,ref,1.262541786,1.926896317,0.574679544,1.987821426,0.560769856
509PS0234_8.15.11_1,ref,1.024473095,1.415538242,1.05221193,0.905868172,0.724274038
509PS0334_9.12.12_1,ref,1.210544895,2.311170372,0.419632825,1.162457597,0.948918787
513BTCACC_9.10.08_1,ref,0.975879027,0.934928393,0.513951817,1.466099932,0.988535965
513BTCACC_9.10.08_2,ref,1.27923645,1.58265776,0.490167846,2.661477235,0.38264296
513CCNASC_7.16.14_1,ref,0.778501933,0.799394017,0,0.795404757,1.519208957
513PS0008_6.11.09_1,ref,1.465538348,2.353969823,0.43274635,1.933769302,1.141667915
513PS0008_6.25.08_1,ref,1.260735742,0.982451635,0.669694792,1.24397601,2.14682053
513PS0008_8.7.08_1,ref,1.04786021,1.529726062,0.54344696,1.976856291,0.141411529
513PS0008_9.1.10_1,ref,0.79469068,1.213894618,0.837872463,0.838627271,0.288368367
513PS0200_7.30.12_1,ref,0.601347887,0.749427127,0.423914792,1.23204963,0
513STCAIV_6.12.14_1,ref,1.099523288,0.982451635,0,0.754164283,2.661477235
