,Type,Score,prop.spp.Salinity.BF,prop.spp.HighMotility,prop.ind.most.tol,prop.spp.BCG3
402BA0287_6.9.08_2,ref,0.874922315,NA,1.749844629,NA,0
402M00005_6.11.15_1,ref,0.906736244,1.340412567,0.511820047,0.867976117,NA
402M00009_6.29.15_1,ref,0.856810251,1.131074498,1.439356257,NA,0
402MTCUNF_6.5.12_1,ref,1.178833241,1.209667353,NA,1.445942049,0.88089032
402PS0048_5.21.08_1,ref,0.819062034,NA,0.778323683,0.569492387,1.109370032
403BA0015_5.19.08_1,ref,0.962881851,1.59970594,0.135273426,1.153666187,NA
403BA0064_5.12.08_1,ref,0.997664812,0.955164593,0.39881391,NA,1.639015933
403BA0064_6.18.14_1,ref,0.406646264,0.549729121,NA,0.399166496,0.271043175
403BA0140_5.21.08_1,ref,0.435226069,NA,0.33304325,0.664476614,0.308158342
403BA0171_5.19.08_1,ref,0.677744893,0.800316529,0.374157841,0.858760309,NA
403BA0960_5.21.08_1,ref,0.891313494,0.692117715,0.733048724,NA,1.248774044
403LNCASC_6.15.10_1,ref,1.245271518,1.43044962,NA,1.418314542,0.887050393
403S00064_6.2.10_1,ref,0.826076214,NA,0.882415213,0.715361021,0.880452406
403S00875_6.24.10_1,ref,0.7746268,0.929522914,0.500409543,0.893947942,NA
403S00960_6.2.10_1,ref,0.747630985,0.69553276,0.576091495,NA,0.971268701
403S01536_7.12.11_1,ref,0.671506393,0.214921535,NA,1.177792714,0.621804932
403S01536_7.12.11_2,ref,0.778824755,NA,0.582151184,0.865404787,0.888918295
403S01883_6.21.10_1,ref,0.761843069,0.797546996,0.762851128,0.725131082,NA
403S03643_6.24.10_1,ref,0.680494924,0.345881267,0.542889004,NA,1.152714502
403S03643_6.24.10_2,ref,0.764769033,0.438573268,NA,1.129107445,0.726626385
403S06315_6.27.12_1,ref,0.69718902,NA,0.25058391,0.699655957,1.141327194
403STC064_6.8.11_1,ref,1.276905065,1.604184445,0.974658602,1.251872149,NA
403STC086_6.21.11_1,ref,1.159361453,0.954830577,0.773409155,NA,1.749844629
403STC086_6.21.11_2,ref,1.299690076,1.317058951,NA,1.584079586,0.997931692
403WE0501_5.14.13_1,ref,0.811162066,NA,1.117344013,0.54574633,0.770395856
403WE0540_5.14.14_1,ref,1.437459964,1.73552218,1.139397749,NA,NA
403WE0540_5.16.13_1,ref,0.81466201,0.783410551,0.606922379,NA,1.0536531
403WE0683_5.15.13_1,ref,1.234545835,1.430483328,NA,1.576186012,0.696968166
403WE1027_5.14.14_1,ref,0.874922315,NA,1.749844629,NA,0
403WE1027_5.30.13_1,ref,0.648766077,0.797486365,0.367936379,0.780875486,NA
405BRCAMS_6.7.11_1,ref,0.733004842,0.868204454,1.005042929,NA,0.325767142
